Ticker,Name,MarketCap,AvgVolume10D,MarketCap_Rank,Volume_Rank
NVDA,NVDA,4828167.0,189.30317,1.0,1.0
AAPL,AAPL,4000362.2,50.90566,2.0,10.0
MSFT,MSFT,3822694.8,25.16252,3.0,27.0
GOOG,GOOG,3417163.8,36.61483,4.5,15.5
GOOGL,GOOGL,3417163.8,36.61483,4.5,15.5
AMZN,AMZN,2665284.8,66.80746,6.0,7.0
AVGO,AVGO,1710487.9,20.05881,7.0,35.0
META,META,1581404.2,28.38286,8.0,24.0
TSLA,TSLA,1477528.5,88.62114,9.0,5.0
BRK-B,BRK-B,1061116.6,0.00036,10.0,516.0
LLY,LLY,857330.7,3.83394,11.0,196.0
JPM,JPM,852079.94,7.03109,12.0,117.0
WMT,WMT,815064.56,13.74581,13.0,50.0
ORCL,ORCL,707481.2,17.11873,14.0,41.0
V,V,655618.9,6.22471,15.0,137.0
XOM,XOM,496497.75,13.63742,16.0,52.0
MA,MA,496367.2,2.91654,17.0,263.0
NFLX,NFLX,460283.47,6.05381,18.0,141.0
JNJ,JNJ,449990.03,7.8752,19.0,102.0
PLTR,PLTR,449230.62,57.84126,20.0,8.0
AMD,AMD,418320.44,50.44208,21.0,11.0
COST,COST,416916.4,2.33889,22.0,300.0
ABBV,ABBV,381382.25,5.57033,23.0,153.0
BAC,BAC,379912.34,34.12444,24.0,20.0
HD,HD,370781.5,2.78178,25.0,270.0
ASML,ASML,350662.06,0.55362,26.0,493.0
PG,PG,343663.38,8.05011,27.0,100.0
GE,GE,320874.38,3.78313,28.0,201.0
CVX,CVX,315319.12,7.37193,29.0,110.0
KO,KO,295348.47,15.41893,30.0,44.0
UNH,UNH,295262.97,9.82126,31.0,77.0
CSCO,CSCO,285025.5,18.27492,32.0,38.0
IBM,IBM,282878.9,8.7205,33.0,89.0
WFC,WFC,278603.28,14.75653,34.0,47.0
MU,MU,264598.78,20.52279,35.0,33.0
CAT,CAT,263856.25,3.28089,36.0,238.0
MS,MS,260599.02,4.80069,37.0,172.0
AXP,AXP,249398.72,2.03393,38.0,325.0
CRM,CRM,242226.88,6.87457,39.0,119.0
GS,GS,237192.45,1.81745,40.0,347.0
RTX,RTX,234098.78,4.62749,41.0,176.0
PM,PM,230670.53,7.5506,42.0,105.0
TMUS,TMUS,229182.0,6.47638,43.0,130.0
ABT,ABT,217306.83,5.75201,44.0,150.0
SHOP,SHOP,214610.28,9.85613,45.0,76.0
MCD,MCD,213517.58,2.84191,46.0,266.0
TMO,TMO,211884.31,1.82648,47.0,345.0
MRK,MRK,209464.1,10.8796,48.0,66.0
APP,APP,208717.11,3.59158,49.0,217.0
DIS,DIS,199480.77,7.42201,50.0,108.0
LRCX,LRCX,195664.36,11.3873,51.0,59.0
LIN,LIN,194920.83,2.93775,52.0,257.0
PEP,PEP,194435.75,6.29974,53.0,134.0
UBER,UBER,194359.83,19.04209,54.0,37.0
AZN,AZN,194217.9,0.96103,55.0,450.0
ANET,ANET,192991.67,6.58648,56.0,127.0
ISRG,ISRG,191009.58,2.78851,57.0,269.0
QCOM,QCOM,189904.0,17.47976,58.0,40.0
C,C,187458.62,11.33408,59.0,60.0
PDD,PDD,187039.61,6.3076,60.0,133.0
NOW,NOW,184614.56,1.70162,61.0,359.0
INTU,INTU,184128.39,1.39666,62.0,399.0
AMAT,AMAT,183379.12,6.83291,63.0,121.0
ARM,ARM,178632.11,3.64564,64.0,211.0
INTC,INTC,176816.11,123.03104,65.0,3.0
BX,BX,174910.38,5.02974,66.0,168.0
T,T,173266.16,88.63786,67.0,4.0
BLK,BLK,172962.28,0.67829,68.0,477.0
NEE,NEE,170336.64,9.74736,69.0,79.0
SCHW,SCHW,169015.06,7.83918,70.0,103.0
APH,APH,167328.39,10.09693,71.0,72.0
VZ,VZ,165789.84,39.6132,72.0,14.0
KLAC,KLAC,161295.94,1.12645,73.0,436.0
BKNG,BKNG,160234.12,0.27735,74.0,507.0
AMGN,AMGN,159731.97,2.22751,75.0,311.0
TJX,TJX,159255.97,4.28179,76.0,186.0
GILD,GILD,151893.38,6.61601,77.0,125.0
ETN,ETN,151087.33,2.91763,78.0,261.0
SPGI,SPGI,150718.69,1.92463,79.0,336.0
ACN,ACN,150631.72,3.75338,80.0,205.0
BA,BA,150536.9,9.7774,81.0,78.0
DHR,DHR,149274.62,3.47596,82.0,223.0
GEV,GEV,148672.77,3.81629,83.0,198.0
BSX,BSX,145887.11,8.41874,84.0,94.0
PANW,PANW,145202.34,4.57785,85.0,178.0
TXN,TXN,144798.16,10.70097,86.0,69.0
COF,COF,140635.9,3.55184,87.0,220.0
ADBE,ADBE,140377.52,3.61886,88.0,213.0
PFE,PFE,139067.98,85.80864,89.0,6.0
SYK,SYK,136286.22,1.64401,90.0,370.0
CRWD,CRWD,133624.83,2.27039,91.0,307.0
LOW,LOW,130391.78,2.26699,92.0,308.0
UNP,UNP,130032.734,3.57816,93.0,218.0
HOOD,HOOD,126618.43,23.53214,94.0,29.0
DE,DE,126595.26,1.1802,95.0,428.0
HON,HON,124729.945,5.77216,96.0,148.0
WELL,WELL,124252.83,3.11946,97.0,246.0
PGR,PGR,123043.74,4.28885,98.0,185.0
IBKR,IBKR,122115.07,4.52359,99.0,180.0
PLD,PLD,117914.2,3.0219,100.0,254.0
MELI,MELI,116891.984,0.50479,101.0,497.0
MDT,MDT,115980.46,6.05042,102.0,142.0
ADI,ADI,114645.3,3.27624,103.0,239.0
CEG,CEG,113346.99,2.73138,104.0,273.0
CB,CB,111784.18,2.27256,105.0,305.0
LMT,LMT,111040.86,1.24384,106.0,418.0
COP,COP,109794.516,6.32481,107.0,132.0
VRTX,VRTX,108112.25,1.53079,108.0,379.0
HCA,HCA,107429.125,1.69326,109.0,362.0
KKR,KKR,105893.71,4.04083,110.0,190.0
MCK,MCK,104648.94,0.62642,111.0,486.0
ADP,ADP,103963.555,2.1784,112.0,315.0
DELL,DELL,103874.93,5.06026,113.0,165.0
DASH,DASH,101672.37,3.84858,114.0,195.0
SO,SO,101213.56,6.66127,115.0,124.0
CMCSA,CMCSA,101190.95,35.36012,116.0,18.0
CVS,CVS,99117.29,8.79649,117.0,88.0
PH,PH,97298.47,0.53031,118.0,494.0
TT,TT,97232.55,1.57767,119.0,374.0
CME,CME,97228.52,1.74743,120.0,352.0
DUK,DUK,96293.234,2.91674,121.0,262.0
MO,MO,95920.97,10.25732,122.0,70.0
TRI,TRI,93124.164,0.48267,123.0,498.0
BMY,BMY,92942.305,19.53934,124.0,36.0
GD,GD,92778.266,1.42155,125.0,397.0
SBUX,SBUX,90987.15,10.73368,126.0,68.0
CDNS,CDNS,90702.81,2.27588,127.0,304.0
NKE,NKE,90562.02,12.86441,128.0,54.0
NEM,NEM,89107.08,13.70837,129.0,51.0
MMC,MMC,88458.09,3.33624,130.0,233.0
MCO,MCO,86962.86,0.96633,131.0,449.0
COIN,COIN,86097.12,10.07413,132.0,73.0
MMM,MMM,85702.53,3.31047,133.0,235.0
AMT,AMT,84430.25,3.07715,134.0,248.0
SHW,SHW,83809.08,2.48423,135.0,290.0
ICE,ICE,83804.84,5.12362,136.0,164.0
HWM,HWM,82569.516,2.58148,137.0,283.0
NOC,NOC,82369.46,0.73785,138.0,472.0
EQIX,EQIX,81485.61,0.5629,139.0,489.0
WM,WM,80686.22,2.50968,140.0,287.0
MRVL,MRVL,80089.086,15.31398,141.0,45.0
ORLY,ORLY,79458.29,6.81316,142.0,122.0
JCI,JCI,78833.81,3.9913,143.0,192.0
UPS,UPS,77836.555,10.06382,144.0,74.0
EMR,EMR,77520.07,2.82099,145.0,267.0
SNPS,SNPS,77336.46,2.13573,146.0,319.0
ABNB,ABNB,76125.87,4.07976,147.0,189.0
BK,BK,75313.7,3.03501,148.0,252.0
APO,APO,75093.67,3.38088,149.0,230.0
CTAS,CTAS,74329.266,1.91831,150.0,337.0
GLW,GLW,73055.67,8.40093,154.0,95.0
MDLZ,MDLZ,72363.305,10.82483,156.0,67.0
USB,USB,72253.875,9.26873,157.0,83.0
MSTR,MSTR,70973.445,11.48558,161.0,58.0
WMB,WMB,70205.484,9.65339,165.0,80.0
CSX,CSX,66478.29,11.08779,168.0,62.0
PYPL,PYPL,63507.375,23.83115,180.0,28.0
GM,GM,62380.44,11.07065,181.0,63.0
CL,CL,61639.79,8.71373,184.0,90.0
KMI,KMI,57899.39,17.52853,195.0,39.0
FCX,FCX,57524.29,13.89562,197.0,49.0
TFC,TFC,56677.645,8.50429,199.0,93.0
WBD,WBD,55184.965,35.4938,201.0,17.0
SLB,SLB,54341.47,17.04692,204.0,42.0
O,O,51329.145,6.2786,215.0,136.0
WDC,WDC,51103.96,11.15491,217.0,61.0
F,F,50963.63,185.87874,218.0,2.0
EW,EW,49008.17,7.02183,223.0,118.0
CARR,CARR,48191.242,7.34189,225.0,112.0
FAST,FAST,47706.625,6.07487,227.0,140.0
EXC,EXC,46651.316,9.02738,229.0,84.0
BKR,BKR,46592.504,8.52808,230.0,92.0
CMG,CMG,41969.1,31.83631,245.0,21.0
KR,KR,41848.125,6.60818,246.0,126.0
LVS,LVS,41433.523,6.22344,249.0,138.0
TGT,TGT,40584.664,6.2822,254.0,135.0
OXY,OXY,39623.703,9.55794,258.0,81.0
EBAY,EBAY,36663.98,7.08003,266.0,115.0
DAL,DAL,36337.38,8.06704,267.0,99.0
KDP,KDP,36233.41,22.77403,268.0,31.0
PCG,PCG,36012.76,20.75532,271.0,32.0
CTSH,CTSH,35619.31,5.91812,275.0,144.0
EQT,EQT,35437.645,7.04866,278.0,116.0
FI,FI,34344.53,25.53077,283.0,26.0
CCL,CCL,33990.7,27.59713,284.0,25.0
KMB,KMB,33199.113,8.03736,289.0,101.0
MCHP,MCHP,32569.67,7.34802,293.0,111.0
VICI,VICI,32331.545,10.99854,296.0,65.0
UAL,UAL,31651.863,5.89694,297.0,145.0
HPE,HPE,31291.81,34.6727,301.0,19.0
KVUE,KVUE,30647.543,54.5303,304.0,9.0
KHC,KHC,28650.385,20.3179,315.0,34.0
TSCO,TSCO,28113.936,6.00453,317.0,143.0
FITB,FITB,27891.93,7.4902,320.0,107.0
SMCI,SMCI,25654.78,29.658,337.0,22.0
HPQ,HPQ,24652.764,10.16871,346.0,71.0
GIS,GIS,24531.822,6.34602,348.0,131.0
HBAN,HBAN,24148.63,39.67835,350.0,13.0
DXCM,DXCM,23861.197,8.95255,352.0,87.0
TTD,TTD,23361.693,9.00658,356.0,86.0
HAL,HAL,22829.123,12.50953,359.0,55.0
RF,RF,21549.246,39.76896,375.0,12.0
DVN,DVN,20662.738,6.69524,384.0,123.0
ON,ON,20173.242,11.03265,389.0,64.0
NI,NI,20094.703,5.84612,390.0,147.0
CTRA,CTRA,19727.17,9.94787,394.0,75.0
KEY,KEY,19030.033,15.9546,399.0,43.0
IP,IP,18980.957,6.8575,401.0,120.0
SW,SW,18899.041,6.57761,402.0,128.0
AMCR,AMCR,18166.795,29.48906,407.0,23.0
CNC,CNC,18009.22,13.24644,411.0,53.0
WY,WY,17128.67,6.56093,424.0,129.0
DD,DD,16568.617,8.08637,427.0,97.0
DOW,DOW,16347.65,15.15218,431.0,46.0
LUV,LUV,15801.674,12.23125,435.0,56.0
KIM,KIM,13841.869,5.75573,447.0,149.0
DOC,DOC,12559.013,9.01632,459.0,85.0
VTRS,VTRS,12110.361,8.08982,465.0,96.0
DECK,DECK,11592.544,7.67718,469.0,104.0
HST,HST,11035.0625,7.52515,474.0,106.0
IVZ,IVZ,10364.198,8.06899,484.0,98.0
AES,AES,10047.019,8.55277,487.0,91.0
MRNA,MRNA,9329.021,13.89751,493.0,48.0
IPG,IPG,9191.455,7.14765,494.0,114.0
BAX,BAX,9024.322,9.27204,497.0,82.0
MGM,MGM,8716.65,6.17562,502.0,139.0
NCLH,NCLH,8485.119,23.36024,504.0,30.0
MOS,MOS,8426.395,5.88682,506.0,146.0
CAG,CAG,8220.474,12.05354,508.0,57.0
APA,APA,7749.655,7.24777,513.0,113.0
SOLS,SOLS,6928.0786,7.38087,515.0,109.0
