is_current_hold,stock_code,close,ideal_entry,entry_price,hard_stop,target_profit,rs_rank,canslim_score,quarterly_eps_growth,annual_eps_growth,revenue_growth,roe,shares_outstanding,inst_ownership,fcf_quality,market_cap,sector,trade_state,trade_score,obv_ad_interpretation,trend_strength,trend_stage,option_state_cn
❌,JLL,357.91,353.40 - 358.33,355.87,337.35,369.45,76.3,5,0.44,0.44,0.11,0.09,47194630,0.94,1.75,16740974592,Real Estate,主升浪建仓/加仓,100.0,明确吸筹,strong_uptrend,mid,机构偏多
❌,ACA,114.47,113.26 - 114.84,114.05,108.13,118.39,73.29,5,3.4,3.35,0.25,0.06,49045025,0.95,0.46,5622521344,Industrials,主升浪建仓/加仓,100.0,明确吸筹,strong_uptrend,mid,中性
❌,VRT,186.18,190.11 - 191.77,191.4,177.37,198.47,82.87,4,1.26,1.22,0.29,0.39,382338313,0.81,0.34,74594205696,Industrials,主升浪建仓/加仓,100.0,明确吸筹,strong_uptrend,mid,机构偏多
❌,NYT,73.31,72.68 - 73.70,73.19,69.4,75.97,82.15,3,0.27,0.28,0.1,0.18,161568285,0.99,0.7,11957413888,Communication Services,主升浪建仓/加仓,100.0,明确吸筹,strong_uptrend,mid,机构偏多
❌,ROL,63.34,62.41 - 63.28,62.84,59.56,65.24,72.28,2,0.19,0.2,0.12,0.36,481150554,0.56,0.86,30358194176,Consumer Cyclical,主升浪建仓/加仓,97.04,明确吸筹,strong_uptrend,mid,机构偏多
❌,GATX,181.91,179.87 - 182.38,181.12,171.71,188.02,66.42,2,-0.08,-0.07,0.08,0.12,35678804,1.03,-0.94,6486049792,Industrials,主升浪建仓/加仓,95.15,明确吸筹,strong_uptrend,mid,中性
❌,PRIM,148.25,147.25 - 149.30,148.27,140.6,157.29,89.66,5,0.62,0.62,0.32,0.19,54032351,0.97,0.74,8238312960,Industrials,主升浪建仓/加仓,93.5,明确吸筹,strong_uptrend,mid,防御性对冲
❌,FLS,78.15,77.40 - 78.47,77.94,73.9,80.91,77.78,3,2.76,2.8,0.04,0.21,127115509,1.02,0.54,10284715008,Industrials,主升浪建仓/加仓,88.54,强趋势回撤,strong_uptrend,mid,中性
❌,AMGN,341.88,338.68 - 343.40,341.04,323.35,354.01,71.71,2,0.14,0.14,0.12,0.82,538480671,0.84,0.87,184666554368,Healthcare,主升浪建仓/加仓,88.05,明确吸筹,strong_uptrend,mid,中性
❌,AZZ,124.29,123.69 - 125.40,124.55,118.12,129.27,78.54,2,0.22,0.21,0.06,0.27,29855666,1.0,0.31,3756233728,Industrials,主升浪建仓/加仓,87.38,极度缩量(隐蔽吸筹),strong_uptrend,mid,中性
❌,TKR,93.19,92.19 - 93.47,92.83,88.01,96.37,72.64,2,-0.15,-0.15,0.03,0.1,69655588,0.95,0.74,6483890176,Industrials,主升浪建仓/加仓,86.45,强趋势回撤,strong_uptrend,mid,机构偏多
❌,ALNT,61.01,60.66 - 61.50,61.08,57.92,63.4,91.99,5,2.08,2.06,0.11,0.07,16943497,0.77,0.87,1038297408,Technology,主升浪建仓/加仓,86.3,强趋势回撤,strong_uptrend,mid,防御性对冲
✅,AMTM,35.78,35.71 - 36.21,35.96,34.11,37.32,90.08,4,0.54,-0.43,0.77,0.01,243712062,1.05,1.75,8866245632,Industrials,主升浪建仓/加仓,85.98,明确吸筹,strong_uptrend,mid,防御性对冲
❌,CMI,578.82,572.21 - 580.19,576.2,546.25,598.17,88.05,1,-0.34,-0.34,-0.02,0.23,138036253,0.88,0.47,80604889088,Industrials,主升浪建仓/加仓,82.76,明确吸筹,strong_uptrend,mid,中性
❌,HLIO,64.78,64.69 - 65.58,65.13,61.78,67.59,86.78,2,-0.1,-0.09,0.13,0.04,33128494,1.02,0.51,2186495744,Industrials,主升浪建仓/加仓,81.03,强趋势回撤,strong_uptrend,mid,中性
❌,WCC,289.43,287.26 - 291.26,289.26,274.28,300.24,85.09,3,-0.08,-0.0,0.13,0.13,48646230,1.03,1.05,14223625216,Industrials,主升浪建仓/加仓,78.24,极度缩量(隐蔽吸筹),strong_uptrend,mid,防御性对冲
❌,DOLE,15.93,15.77 - 15.99,15.88,15.06,16.48,68.96,3,-0.65,-0.64,0.1,0.1,95162657,0.71,1.82,1507243264,Consumer Defensive,主升浪建仓/加仓,76.51,明确吸筹,strong_uptrend,mid,防御性对冲
❌,ROK,421.65,417.18 - 423.00,420.09,398.27,446.0,80.27,2,-0.42,-0.41,0.14,0.2,112433185,0.87,0.83,47178649600,Industrials,主升浪建仓/加仓,70.33,极度缩量(隐蔽吸筹),strong_uptrend,mid,防御性对冲
❌,EXPD,160.54,159.15 - 161.37,160.26,151.95,166.35,83.1,1,-0.03,0.01,-0.04,0.37,134020931,1.04,0.76,21918541824,Industrials,主升浪建仓/加仓,66.95,强趋势回撤,strong_uptrend,mid,中性
❌,FOXA,72.78,71.68 - 72.68,72.18,68.41,75.76,80.33,1,-0.28,-0.26,0.05,0.17,208361696,1.17,0.7,31892842496,Communication Services,资金明确派发，禁止交易,19.49,派发阶段,trend_pullback,unknown,中性
❌,HEI,330.91,328.06 - 332.62,330.34,313.22,342.9,70.86,5,0.35,0.33,0.19,0.17,55142805,0.74,0.72,46260801536,Industrials,资金结构恶化，仅观察,43.85,控盘减弱预警,trend_pullback,unknown,机构偏多
❌,DY,364.39,363.01 - 368.04,365.52,346.66,379.35,89.0,4,0.52,0.53,0.14,0.22,29967120,0.97,0.44,10952083456,Industrials,资金结构恶化，仅观察,33.55,控盘减弱预警,strong_uptrend,mid,防御性对冲
❌,YETI,45.71,45.41 - 46.04,45.72,43.35,47.45,73.99,2,-0.3,-0.27,0.02,0.22,77808113,1.23,0.46,3750934784,Consumer Cyclical,资金结构恶化，仅观察,27.08,控盘减弱预警,trend_pullback,unknown,机构偏多
❌,CSGS,79.75,79.22 - 80.32,79.77,75.64,82.8,76.32,3,0.07,0.09,0.03,0.29,28520509,1.02,1.28,2273369600,Technology,资金结构恶化，仅观察,27.03,控盘减弱预警,uptrend,unknown,防御性对冲
❌,BTE,3.43,3.44 - 3.48,3.46,3.25,3.59,85.83,0,-0.83,-0.83,-0.12,0.05,768317006,0.4,0.19,2685745408,Energy,资金结构恶化，仅观察,22.55,控盘减弱预警,strong_uptrend,mid,机构偏多
❌,PWR,474.63,473.99 - 480.54,477.26,452.7,495.27,80.21,2,0.16,0.15,0.18,0.13,149115887,0.95,0.39,72087093248,Industrials,趋势停滞+资金分歧，禁止交易,23.08,控盘减弱预警,strong_uptrend,mid,防御性对冲
❌,ATMU,57.97,57.28 - 58.08,57.68,54.68,61.32,82.83,4,0.25,0.27,0.11,0.72,81507839,1.04,0.57,4661303808,Consumer Cyclical,趋势未启动，仅观察,57.7,明确吸筹,strong_uptrend,mid,机构偏多
❌,BORR,4.68,4.54 - 4.60,4.57,4.33,4.84,91.18,3,1.87,1.56,0.15,0.07,306872798,0.6,-0.07,1430027264,Energy,趋势未启动，仅观察,51.9,量价中性,strong_uptrend,unknown,机构偏多
❌,MRK,110.27,108.71 - 110.23,109.47,103.76,124.92,76.74,4,0.83,0.87,0.04,0.39,2482022536,0.8,0.85,270347583488,Healthcare,趋势未启动，仅观察,49.45,量价中性,uptrend,unknown,中性
❌,ESE,228.17,226.05 - 229.20,227.62,215.81,241.39,83.34,3,-0.1,-0.1,0.09,0.08,25874368,1.0,1.25,5950069760,Technology,趋势未启动，仅观察,48.94,明确吸筹,uptrend,unknown,机构偏多
❌,RBC,499.67,500.06 - 506.95,503.51,477.65,538.95,83.89,2,0.11,0.15,0.14,0.09,31611442,1.02,0.61,15968520192,Industrials,趋势未启动，仅观察,46.83,明确吸筹,strong_uptrend,mid,机构偏多
❌,WFRD,94.08,93.17 - 94.47,93.82,88.93,97.39,86.53,2,-0.48,-0.46,-0.13,0.3,71730033,1.04,0.42,6755363328,Energy,趋势未启动，仅观察,45.38,量价中性,strong_uptrend,unknown,机构偏多
❌,TTC,91.5,90.09 - 91.36,90.73,85.99,94.2,69.89,2,-0.19,-0.14,-0.01,0.21,97904689,0.94,0.75,8980797440,Industrials,趋势未启动，仅观察,44.04,明确吸筹,strong_uptrend,mid,机构偏多
❌,BRC,86.47,85.28 - 86.48,85.88,81.41,89.16,69.53,2,0.15,0.17,0.08,0.17,43638096,0.84,0.69,4036440320,Industrials,趋势未启动，仅观察,43.97,明确吸筹,strong_uptrend,mid,机构偏多
❌,BKH,72.98,72.24 - 73.25,72.75,68.97,76.46,76.0,2,0.02,-0.02,0.07,0.08,75473390,0.89,-0.35,5495217664,Utilities,趋势未启动，仅观察,43.08,明确吸筹,strong_uptrend,mid,机构偏多
❌,HAS,89.31,88.50 - 89.73,89.12,84.5,92.51,81.92,1,0.04,0.03,0.08,-0.63,140337023,0.93,0.61,12694887424,Consumer Cyclical,趋势未启动，仅观察,40.89,明确吸筹,strong_uptrend,mid,机构偏多
❌,WAB,230.14,228.41 - 231.59,230.0,218.09,243.47,66.5,1,0.1,0.11,0.08,0.11,170957186,0.97,0.73,39769772032,Industrials,趋势未启动，仅观察,37.84,明确吸筹,strong_uptrend,mid,中性
❌,ADM,67.31,66.36 - 67.29,66.82,63.34,70.8,76.87,3,5.0,4.89,0.02,0.05,480569735,0.86,0.41,32159725568,Consumer Defensive,趋势未启动，仅观察,34.52,强趋势回撤,strong_uptrend,mid,防御性对冲
❌,GSL,37.54,37.16 - 37.68,37.42,35.48,38.84,87.86,1,0.17,0.16,0.1,0.26,35770652,0.48,0.17,1343903360,Industrials,趋势未启动，仅观察,29.72,量价中性,strong_uptrend,mid,防御性对冲
✅,CDE,20.44,21.09 - 21.05,21.09,19.92,21.87,96.51,4,4.47,2.42,0.77,0.2,642106588,0.79,0.33,14584473600,Basic Materials,趋势未启动，仅观察,29.2,高位放量分歧,uptrend,early,中性
❌,PSX,143.56,141.51 - 143.49,142.5,135.07,151.36,68.92,1,-0.62,-0.61,-0.03,0.06,402921135,0.78,0.05,57535168512,Energy,趋势未启动，仅观察,16.61,控盘减弱预警,strong_uptrend,mid,防御性对冲
❌,GOOGL,338.0,327.86 - 38.29,327.86,310.37,340.69,89.26,4,0.33,0.35,0.16,0.35,5818000000,0.81,0.32,4096925106176,Communication Services,量价支持不足,57.79,量价中性,strong_uptrend,mid,机构偏多
❌,GOOG,338.53,328.37 - 38.29,328.37,310.85,341.22,89.13,4,0.33,0.35,0.16,0.35,5407000000,0.61,0.32,4096335020032,Communication Services,量价支持不足,57.76,量价中性,strong_uptrend,mid,中性
❌,F,13.88,13.78 - 13.97,13.88,13.16,14.41,78.6,3,1.74,1.73,0.09,0.1,3913646490,0.65,0.19,55643525120,Consumer Cyclical,量价支持不足,50.05,量价中性,strong_uptrend,mid,中性
❌,MTZ,240.48,238.91 - 242.23,240.57,228.13,249.7,84.39,5,0.69,0.69,0.22,0.12,78900930,0.74,0.27,19338760192,Industrials,量价支持不足,45.32,量价中性,strong_uptrend,mid,防御性对冲
❌,AM,18.82,18.58 - 18.84,18.71,17.74,19.42,65.21,1,0.16,0.16,0.09,0.23,476275000,0.58,0.46,8991734784,Energy,量价支持不足,37.59,量价中性,strong_uptrend,mid,机构偏多
❌,GAP,27.98,27.70 - 28.08,27.89,26.29,28.95,75.83,1,-0.14,-0.14,0.03,0.25,371921740,0.63,0.5,10302232576,Consumer Cyclical,量价支持不足,27.39,量价中性,strong_uptrend,mid,防御性对冲
❌,JBTM,157.31,155.90 - 158.08,156.99,148.85,162.96,72.02,4,0.7,0.05,1.21,-0.04,51971372,0.99,0.54,8240061440,Industrials,阶段不明，仅观察,67.18,明确吸筹,uptrend,unknown,机构偏多
❌,GVA,120.74,120.09 - 121.75,120.92,114.67,125.5,78.03,4,0.3,0.26,0.12,0.18,43649806,1.21,0.48,5323082752,Industrials,阶段不明，仅观察,66.58,极度缩量(隐蔽吸筹),uptrend,unknown,机构偏多
❌,HG,27.75,27.62 - 28.00,27.81,26.37,28.86,78.41,5,0.74,0.78,0.28,0.27,64537772,0.87,0.79,2751241728,Financial Services,阶段不明，仅观察,62.51,极度缩量(隐蔽吸筹),uptrend,unknown,中性
❌,SEE,41.88,41.58 - 42.15,41.87,39.7,43.46,78.01,3,1.78,1.75,0.0,0.4,147271147,1.0,0.59,6169188352,Consumer Cyclical,阶段不明，仅观察,58.58,极度缩量(隐蔽吸筹),uptrend,unknown,机构偏多
❌,WWD,317.84,315.17 - 319.56,317.37,300.92,329.43,84.94,5,0.65,0.64,0.16,0.19,59996788,0.93,0.52,19272167424,Industrials,阶段不明，仅观察,58.28,量价中性,trend_pullback,unknown,机构偏多
❌,LEG,11.67,11.58 - 11.74,11.66,11.06,12.1,67.65,4,1.83,1.78,-0.06,0.26,135436282,0.85,0.96,1594085120,Consumer Cyclical,阶段不明，仅观察,56.58,强趋势回撤,trend_pullback,unknown,机构偏多
❌,AER,143.66,142.35 - 144.33,143.34,135.91,148.79,81.14,4,2.24,2.58,0.18,0.22,170211910,0.9,-0.02,25771110400,Industrials,阶段不明，仅观察,55.28,量价中性,uptrend,unknown,中性
✅,APG,41.57,41.22 - 41.79,41.51,39.36,43.58,82.89,4,0.35,0.33,0.14,0.09,431128083,0.82,0.8,17904447488,Industrials,阶段不明，仅观察,54.39,量价中性,uptrend,unknown,机构偏多
❌,DTM,126.02,124.34 - 126.08,125.21,118.69,133.0,74.81,4,0.31,0.26,0.27,0.09,101673925,0.9,0.23,12814982144,Energy,阶段不明，仅观察,52.76,量价中性,uptrend,unknown,机构偏多
❌,DVAX,15.48,15.38 - 15.59,15.48,14.68,16.07,79.51,5,0.53,0.69,0.18,-0.07,113684064,1.0,0.57,1817738496,Healthcare,阶段不明，仅观察,52.67,极度缩量(隐蔽吸筹),uptrend,unknown,防御性对冲
❌,ROST,188.65,186.30 - 188.90,187.6,177.84,196.65,77.46,1,0.05,0.07,0.1,0.37,323444928,0.94,0.54,60654698496,Consumer Cyclical,阶段不明，仅观察,51.63,明确吸筹,uptrend,unknown,机构偏多
❌,JBL,237.19,236.66 - 239.93,238.29,226.02,247.29,74.03,4,0.46,0.53,0.19,0.48,105595267,0.99,0.72,26056255488,Technology,阶段不明，仅观察,45.94,量价中性,trend_pullback,unknown,中性
✅,BMY,55.05,54.42 - 55.18,54.8,51.95,57.44,65.47,4,0.82,0.81,0.03,0.34,2035753027,0.82,0.89,111274262528,Healthcare,阶段不明，仅观察,45.56,量价中性,trend_pullback,unknown,中性
❌,WMS,152.04,150.72 - 152.82,151.77,143.9,157.54,73.31,2,0.2,0.19,0.09,0.28,77764487,0.98,0.56,11915074560,Industrials,阶段不明，仅观察,45.48,极度缩量(隐蔽吸筹),trend_pullback,unknown,中性
❌,LIVN,65.71,64.52 - 65.43,64.98,61.58,68.59,81.98,3,-0.19,-0.18,0.12,-0.18,54605527,1.06,3.55,3531339520,Healthcare,阶段不明，仅观察,45.37,明确吸筹,uptrend,unknown,防御性对冲
❌,FERG,252.46,250.70 - 254.18,252.44,239.38,262.02,74.31,1,0.21,0.24,0.05,0.33,200686480,0.95,0.65,50781585408,Industrials,阶段不明，仅观察,44.73,极度缩量(隐蔽吸筹),uptrend,unknown,中性
❌,AGX,347.11,351.38 - 356.17,353.77,335.81,366.94,92.75,2,0.1,0.08,-0.02,0.32,13873410,0.95,0.72,4932135936,Industrials,阶段不明，仅观察,43.12,量价中性,strong_uptrend,unknown,中性
❌,MAT,20.89,20.57 - 20.85,20.71,19.63,22.52,65.85,1,-0.25,-0.19,-0.06,0.19,310800000,1.02,0.78,6634098176,Consumer Cyclical,阶段不明，仅观察,43.04,极度缩量(隐蔽吸筹),trend_pullback,unknown,机构偏多
❌,CME,289.06,286.45 - 290.44,288.45,273.49,299.42,67.2,1,-0.0,-0.0,-0.03,0.13,359509289,0.91,0.68,104197480448,Financial Services,阶段不明，仅观察,42.96,明确吸筹,uptrend,unknown,中性
❌,XPEL,51.51,51.61 - 52.32,51.97,49.3,75.8,82.55,3,-0.13,-0.13,0.11,0.19,27678601,0.87,0.87,1455617664,Consumer Cyclical,阶段不明，仅观察,42.45,量价中性,trend_pullback,unknown,中性
❌,MDU,20.51,20.27 - 20.55,20.41,19.35,21.19,68.7,1,-0.72,-0.72,0.09,0.06,205905663,0.86,0.48,4227243520,Utilities,阶段不明，仅观察,41.65,极度缩量(隐蔽吸筹),uptrend,unknown,中性
❌,MMS,94.44,93.03 - 94.33,93.68,88.79,99.72,74.37,2,0.04,0.11,0.0,0.18,54548576,1.07,0.78,5136839168,Industrials,阶段不明，仅观察,38.76,量价中性,trend_pullback,unknown,机构偏多
❌,TRP,58.67,58.06 - 58.87,58.46,55.42,60.69,75.07,1,-0.57,-0.58,0.1,0.11,1041000000,0.84,0.6,61747859456,Energy,阶段不明，仅观察,38.26,量价中性,strong_uptrend,unknown,机构偏多
❌,GXO,56.59,56.20 - 56.98,56.59,53.66,58.74,67.16,4,0.79,0.85,0.08,0.03,114493292,1.06,0.81,6485472768,Industrials,阶段不明，仅观察,38.2,量价中性,uptrend,unknown,防御性对冲
❌,RRR,63.13,62.04 - 62.91,62.48,59.21,65.8,72.55,4,0.46,0.41,0.02,1.26,59969558,0.84,0.39,6442295808,Consumer Cyclical,阶段不明，仅观察,38.05,量价中性,uptrend,unknown,防御性对冲
❌,GMED,90.68,90.02 - 91.27,90.64,85.95,94.08,79.83,4,1.3,1.32,0.23,0.1,111409069,1.08,0.62,12384749568,Healthcare,阶段不明，仅观察,37.59,量价中性,trend_pullback,unknown,防御性对冲
❌,OMCL,48.5,48.30 - 48.97,48.63,46.12,52.46,81.94,2,-0.37,-0.36,0.1,0.02,44876522,1.03,0.7,2234930944,Healthcare,阶段不明，仅观察,37.3,量价中性,trend_pullback,unknown,中性
❌,VET,9.68,9.58 - 9.71,9.64,9.14,10.01,66.63,1,-0.95,-0.95,0.16,0.04,153434000,0.48,-0.66,1518280320,Energy,阶段不明，仅观察,35.87,量价中性,strong_uptrend,unknown,机构偏多
❌,POR,50.25,49.68 - 50.37,50.03,47.43,52.91,72.26,1,0.1,0.04,0.02,0.08,112488952,1.0,-0.44,5654819840,Utilities,阶段不明，仅观察,33.8,极度缩量(隐蔽吸筹),uptrend,unknown,防御性对冲
❌,REX,33.81,33.53 - 34.00,33.77,32.02,35.05,82.51,2,-0.04,0.03,0.0,0.09,32937718,0.84,-0.03,1136519424,Basic Materials,阶段不明，仅观察,30.83,量价中性,trend_pullback,unknown,防御性对冲
❌,ALKS,33.89,33.78 - 34.24,34.01,32.26,35.3,67.56,2,-0.1,-0.12,0.04,0.22,165117509,1.08,0.63,5713065472,Healthcare,阶段不明，仅观察,30.25,量价中性,strong_uptrend,unknown,防御性对冲
❌,ADEA,18.09,18.03 - 18.28,18.16,17.22,18.85,79.11,2,-0.54,-0.53,0.01,0.19,109510191,0.97,0.66,1983229696,Technology,阶段不明，仅观察,28.88,量价中性,trend_pullback,unknown,防御性对冲
❌,XPO,148.11,148.18 - 150.23,149.21,141.55,154.83,67.46,1,-0.14,-0.14,0.03,0.19,117384263,1.1,0.12,17771474944,Industrials,阶段不明，仅观察,27.65,量价中性,strong_uptrend,unknown,防御性对冲
❌,FOX,65.57,64.47 - 65.37,64.92,61.53,68.83,78.3,1,-0.28,-0.26,0.05,0.17,235581025,0.63,0.7,30472759296,Communication Services,阶段不明，仅观察,26.18,量价中性,trend_pullback,unknown,防御性对冲
✅,TPB,121.15,120.17 - 121.84,121.01,114.74,125.61,90.57,5,0.7,0.69,0.31,0.25,19070757,1.0,0.76,2287727872,Consumer Defensive,阶段不明，小仓试探,100.0,明确吸筹,strong_uptrend,unknown,机构偏多
❌,ECO,40.49,40.05 - 40.61,40.33,38.23,41.87,89.28,3,0.65,0.65,0.07,0.18,39044655,0.16,0.71,1570729344,Industrials,阶段不明，小仓试探,99.95,明确吸筹,strong_uptrend,unknown,中性
❌,FIX,1142.1,1139.83 - 1155.59,1147.71,1088.61,1228.05,93.85,5,0.99,1.02,0.35,0.44,35271950,1.0,0.67,41330806784,Industrials,阶段不明，小仓试探,93.66,明确吸筹,strong_uptrend,unknown,防御性对冲
❌,DAKT,23.15,22.60 - 22.92,22.76,21.0,24.38,82.13,4,-0.18,0.57,0.1,0.03,48747817,0.72,0.77,1094875904,Technology,阶段不明，小仓试探,83.98,明确吸筹,strong_uptrend,unknown,防御性对冲
❌,PAHC,40.15,39.64 - 40.20,39.92,37.84,41.44,87.5,5,2.8,2.82,0.4,0.24,20447574,0.98,-1.46,1605941504,Healthcare,非趋势结构，仅观察,53.95,明确吸筹,range,unknown,中性
❌,SIG,92.27,91.46 - 92.74,92.1,87.04,95.6,78.13,5,1.86,3.08,0.03,0.08,40684442,1.15,0.66,3752963072,Consumer Cyclical,非趋势结构，仅观察,52.04,量价中性,range,unknown,机构偏多
❌,STRL,357.91,360.43 - 365.37,362.9,344.38,376.48,91.69,5,0.5,0.51,0.16,0.37,30719373,1.02,0.37,11649708032,Industrials,非趋势结构，仅观察,49.17,明确吸筹,range,unknown,中性
❌,NTCT,27.81,27.57 - 27.96,27.77,26.33,30.65,72.07,4,1.86,1.77,0.15,0.06,72193673,0.95,0.78,1992545408,Technology,非趋势结构，仅观察,48.69,极度缩量(隐蔽吸筹),range,unknown,机构偏多
❌,NVDA,191.13,190.83 - 193.47,192.15,182.26,199.4,74.33,5,0.65,0.67,0.62,1.07,24305000000,0.7,0.64,4679006683136,Technology,非趋势结构，仅观察,33.69,控盘减弱预警,range,unknown,中性
